Reference,Price,Qty,Value,LCSC Part #
"C1,C2",0.50 $US,2,100nf,C60474
D1,0.69 $US,1,LED,C20608782
J1,0.00 $US,1,N/A,N/A
R1,0.13 $US,1,22k,C140179
R2,0.15 $US,1,1k,C140197
R3,0.21 $US,1,300,C25102
"R4,R5",0.14 $US,2,4.7k,C140158
U1,1.88 $US,1,LIS3DH,C15134
U2,7.13 $US,1,BME280,C92489
PCB,4.00 $US,5,N/A,N/A
Stencil,3.07 $US,1,N/A,N/A
TOTAL,17.90 $US,,N/A,N/A
